kernel,InputData,thread,event/metric,invocation,min,max,avg
__omp_offloading_2f_3253403_main_l27,default,128,1,inst_executed_fp16_pipe_s0,0,0,0
__omp_offloading_2f_3253403_main_l27,default,128,1,inst_executed_fp16_pipe_s1,0,0,0
__omp_offloading_2f_3253403_main_l27,default,128,1,inst_executed_fp16_pipe_s2,0,0,0
__omp_offloading_2f_3253403_main_l27,default,128,1,inst_executed_fp16_pipe_s3,0,0,0
__omp_offloading_2f_3253403_main_l27,default,128,1,inst_executed_fp64_pipe_s0,0,0,0
__omp_offloading_2f_3253403_main_l27,default,128,1,inst_executed_fp64_pipe_s1,0,0,0
__omp_offloading_2f_3253403_main_l27,default,128,1,inst_executed_fp64_pipe_s2,0,0,0
__omp_offloading_2f_3253403_main_l27,default,128,1,inst_executed_fp64_pipe_s3,0,0,0
__omp_offloading_2f_3253403_main_l27,default,128,1,inst_executed_fma_pipe_s0,201850890,201850890,201850890
__omp_offloading_2f_3253403_main_l27,default,128,1,inst_executed_fma_pipe_s1,201850874,201850874,201850874
__omp_offloading_2f_3253403_main_l27,default,128,1,inst_executed_fma_pipe_s2,201850874,201850874,201850874
__omp_offloading_2f_3253403_main_l27,default,128,1,inst_executed_fma_pipe_s3,201850882,201850882,201850882
__omp_offloading_2f_3253403_main_l27,default,128,1,tensor_pipe_active_cycles_s0,0,0,0
__omp_offloading_2f_3253403_main_l27,default,128,1,tensor_pipe_active_cycles_s1,0,0,0
__omp_offloading_2f_3253403_main_l27,default,128,1,tensor_pipe_active_cycles_s2,0,0,0
__omp_offloading_2f_3253403_main_l27,default,128,1,tensor_pipe_active_cycles_s3,0,0,0
__omp_offloading_2f_3253403_main_l27,default,128,1,pcie_tx_active_pulse,5,5,5
__omp_offloading_2f_3253403_main_l27,default,128,1,pcie_rx_active_pulse,9,9,9
__omp_offloading_2f_3253403_main_l27,default,128,1,active_cycles_sys,385261545,385261545,385261545
