kernel,InputData,thread,event/metric,invocation,min,max,avg
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,512,128,1,global_atom_cas,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,512,128,1,active_cycles_pm,2050021259,2050021259,2050021259
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,512,128,1,active_warps_pm,4100064904,4100064904,4100064904
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,512,128,1,elapsed_cycles_pm,1.6411e+11,1.6411e+11,1.6411e+11
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,512,128,1,inst_executed_fp16_pipe_s0,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,512,128,1,inst_executed_fp16_pipe_s1,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,512,128,1,inst_executed_fp16_pipe_s2,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,512,128,1,inst_executed_fp16_pipe_s3,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,512,128,1,inst_executed_fp64_pipe_s0,28560,28560,28560
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,512,128,1,inst_executed_fp64_pipe_s1,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,512,128,1,inst_executed_fp64_pipe_s2,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,512,128,1,inst_executed_fp64_pipe_s3,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,512,128,1,inst_executed_fma_pipe_s0,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,512,128,1,inst_executed_fma_pipe_s1,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,512,128,1,inst_executed_fma_pipe_s2,8005620,8005620,8005620
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,512,128,1,inst_executed_fma_pipe_s3,160,160,160
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,512,128,1,tensor_pipe_active_cycles_s0,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,512,128,1,tensor_pipe_active_cycles_s1,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,512,128,1,tensor_pipe_active_cycles_s2,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,512,128,1,tensor_pipe_active_cycles_s3,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,512,128,1,pcie_tx_active_pulse,1077,1077,1077
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,512,128,1,pcie_rx_active_pulse,1142,1142,1142
