kernel,InputData,thread,event/metric,invocation,min,max,avg
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,l2_subp1_write_tex_sector_queries,46300,52444,48806
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,l2_subp0_read_tex_hit_sectors,1172,1175,1172
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,l2_subp1_read_tex_hit_sectors,1164,1166,1164
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,l2_subp0_write_tex_hit_sectors,53608,62823,57287
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,l2_subp1_write_tex_hit_sectors,45432,50552,47427
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,l2_subp0_total_read_sector_queries,14330,19685,16513
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,l2_subp1_total_read_sector_queries,2241,3177,2622
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,l2_subp0_total_write_sector_queries,54433,68473,59031
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,l2_subp1_total_write_sector_queries,46312,56185,49210
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,l2_subp0_read_sysmem_sector_queries,12075,16562,13856
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,l2_subp1_read_sysmem_sector_queries,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,l2_subp0_write_sysmem_sector_queries,1,5,3
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,l2_subp1_write_sysmem_sector_queries,0,4,1
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,elapsed_cycles_sm,329834242,452406050,377998592
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,prof_trigger_00,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,prof_trigger_01,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,prof_trigger_02,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,prof_trigger_03,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,prof_trigger_04,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,prof_trigger_05,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,prof_trigger_06,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,prof_trigger_07,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,warps_launched,4,4,4
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,inst_issued0,15551881,21259885,17767367
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,inst_issued1,937349,1322373,1094893
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,inst_executed,937341,4771025,2088312
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,thread_inst_executed,126528323,140205965,129123528
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,not_predicated_off_thread_inst_executed,122276506,135625137,124812880
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,active_cycles,4111662,5643167,4712452
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,active_warps,44633776,54915768,48694620
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,shared_atom,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,sm_cta_launched,1,1,1
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,shared_atom_cas,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,shared_load,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,shared_store,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,generic_load,77992,102568,88048
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,generic_store,24757,41141,31461
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,global_load,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,global_store,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,local_load,328,328,328
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,local_store,328,328,328
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,atom_count,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,gred_count,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,shared_ld_transactions,8,8,8
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,shared_st_transactions,9,9,9
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,shared_ld_bank_conflict,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,shared_st_bank_conflict,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,global_atom_cas,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,active_cycles_pm,4111899,5634618,4713706
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,active_warps_pm,16489304,22582332,18862335
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,elapsed_cycles_pm,329794582,451823522,378014865
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,inst_executed_fp16_pipe_s0,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,inst_executed_fp16_pipe_s1,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,inst_executed_fp16_pipe_s2,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,inst_executed_fp16_pipe_s3,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,inst_executed_fp64_pipe_s0,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,inst_executed_fp64_pipe_s1,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,inst_executed_fp64_pipe_s2,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,inst_executed_fp64_pipe_s3,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,inst_executed_fma_pipe_s0,10,12,10
